Comment,Description,Designator,Footprint,LibRef,Quantity,Pins
"1M","","R38","r0402","1M","1","2"
"22R","","R39, R62, R104, R105","r0402","22R","4","2"
"240R%1","","R53","r0402","240R%1","1","2"
"10K%1","","R54, R56, R66","r0402","10K%1","3","2"
"1K%1","","R55, R57","r0402","1K%1","2","2"
"120K","","R58, R59","r0402","120K","2","2"
"200R","","R60, R61","r0402","200R","2","2"
"1.2M","","R64","r0402","1.2M","1","2"
"NC/0R","","R69, R148, R149, R150, R151, R152, R153, R177","r0402","NC/0R","8","2"
"0R/NC","","R71, R72","r0402","0R/NC","2","2"
"6.8R","","R77","R0603","6.8R","1","2"
"200K","","R79","r0402","200K","1","2"
"33R","","R80, R81, R82, R83, R84, R85, R86, R89, R90, R92, R94, R97, R98, R124, R129, R130, R168, R169, R170, R171, R172, R173","r0402","33R","22","2"
"4.7K","","R91, R93, R112, R132, R133, R145, R146","r0402","4.7K","7","2"
"2K2","","R101, R106","r0402","2K2","2","2"
"30K","","R107, R108, R110, R111","r0402","30K","4","2"
"56K","","R137","r0402","56K","1","2"
"2R","","R138, R139","R1206","2R","2","2"
"22K","","R144","r0402","22K","1","2"
"NC/10K","","R161, R162, R163, R164, R165","r0402","NC/10K","5","2"
"SHIELD","","S1, S2, S3, S4, S5, S6, S7, S8","0_9MM_SHIELD","SHIELD","28","5"
"ED?","","TESA15R0V09B1X1","E0201","ED?","1","2"
"SYR828","","U1","WLCSP-20","SYR828","1","20"
"RC5T619-1017(RK3288)","","U2","CSP0608-80","RC5T619-1017(RK3288)","1","80"
"SYR827","","U3","WLCSP-20","SYR827","1","20"
"PT5128E23F-E","","U4","SOT26","PT5128E23F-E","1","6"
"SY7152ABC","","U6","SOT26","SY7152ABC","1","6"
"SY6280AAC","","U7","SOT25","SY6280AAC","1","5"
"MCU_RK3288","","U8","BGA636_1","MCU_RK3288","1","636"
"K3PE0E000E","","U9","FBGA220-14X14","K3PE0E000E","1","220"
"PT5108E23E-18","","U10","SOT25","PT5108E23E-18","1","5"
"LSM303D/LIS3DH/MMA8452Q","","U11","LGA16","LSM303D/LIS3DH/MMA8452Q","1","16"
"AK8963C","","U12","BAG14-2X2","AK8963C","1","14"
"HAL48","","U13","SOT23","HAL48","1","3"
"LSM330TR","","U14","LSM330","LSM330TR","1","24"
"ALC5616","","U15","ALC5616_QFN32","ALC5616","1","33"
"AW8110CSR","","U16, U17","CSP9","AW8110CSR","2","9"
"NAND_FLASH","","U18","TSOP1-48","NAND_FLASH","1","48"
"INAND","","U19","INAND_169","INAND","1","169"
"NC/PT5108E23E-18","","U20","SOT25","NC/PT5108E23E-18","1","5"
"OV2659","","U22","AXT524124","OV2659","1","28"
"SY7203","","U23","DFN3X3-10","SY7203","1","11"
"AP6476","","U24","AP6XXX","AP6476","1","47"
"1XTW26000CGA","","U25","CRY-D3225","1XTW26000CGA","1","4"
"32.768K","","Y1","CRY-MC146","32.768K","1","4"
"24M-30ppm","","Y2","CRY-D3225","24M-30ppm","1","4"
"37.4MHz-10ppm","","Y3","CRY-D3225","37.4MHz-10ppm","1","4"
