Comment,Description,Designator,Footprint,LibRef,Pins,Quantity
"1M","Resistor","R243, R254","R-1206[3216]","Res2","2","2"
"464R","Resistor","R253, R258, R259","R-0805","Res2_2","2","3"
"4.7K","Isolated Resistor Network - Parts","R256","RPACKNEW","Res Pack2","8","1"
"0R","Resistor","R260, R271, R295, R298, R301, R303","R-0805","Res2","2","6"
"10K","","R263","R-0603","R0603","2","1"
"100R","Resistor","R264, R265, R266, R267, R269, R270, R290, R292, R293","R-0805","Res2","2","9"
"33R","Resistor","R273, R274","R-0805","Res2_2","2","2"
"4.7K","Resistor","R276, R278","R-0603","Res2","2","2"
"330R","Resistor","R277","R-0805","Res2","2","1"
"0R","Resistor","R285, R287, R289, R291, R296, R297, R300, R302","R-0603","Res2","2","8"
"SGM8558-1","","U1, U3, U4, U5, U7, U8","SOT23-5","SGM8558-1","5","6"
"KTA7828","","U2","TSSOP16-(KTA7828)","KTA7828","16","1"
"KTA7953","","U6","TSSOP38-(KTA7953)","KTA7953","38","1"
"ME3118","","U9","ESOP8-(ME3118)","ME3118","9","1"
"SY6301","","U10, U11","SY6301-DFN3×3-6","SY6301","7","2"
"WRB0503S-3WR2","","U12","超小型DIP封装","","7","1"
"B1515S-2WR2","","U13","小型DIP封装","","4","1"
"ME431","","U14","SOT23-me431","M","3","1"
"14061","","U15, U16, U17, U19, U20","SOIC-W","1","16","5"
"2π_π220N","","U18","SOIC-8","2","8","1"
"KTA5541","","U21, U25","SOP8L","KTA","8","2"
"TP07A","","U22, U23","SOP8","T","8","2"
"TPC2160S1","","U24, U28","SOP-8","TPC21","8","2"
"SGM8416-1","","U26, U27","TDFN-3×3-8L","","9","2"
"GW2A-18K-PBGA256S","","U29","FT256","GW2A-18K-PBGA256S","256","1"
"AT8574","","U30, U33","SSOP20","AT","20","2"
"SIT230","","U31","SOP8","SI","8","1"
"74HC4538","","U32","SO16","74HC","16","1"
"74LVC1G32","","U34","SC-74A","74LVC","5","1"
"XCF08PFS48C","","U35","FS48","XCF16PFS48C","48","1"
"IS25LP064D","","U36","SOIC-8-208","IS25LP","8","1"
"LM75","","U37","SO8","LM75","8","1"
"BAS40-04","","V1, V2","SOT23","BAS4","3","2"
"TX50_24MHZ_3.3V","","Y1","OSC4-XO53","TX50_60MHZ_3.3V","4","1"
