Designator,Pins
"C1, C2, C3, C4, C7, C8, C9,C14,C15,C26,C27,C29,C30,C96,C98,C99",2
JEDGE1,6
"U38,U7,U3,U4,U8,U11,U9,U102,U104",5
U100,5
FBD1,2
LED1,2
"R8,R11,R19,R29,R15,R13,R4,R14,R2",2
"C20,C21,C82",2
"MT4,MT1,MT3,MT2",1
RPAK1,6
"J1,J2",3
